,second,categories
582,582,"['furniture', 'decor', 'design']"
583,583,"['furniture', 'decor', 'walls']"
584,584,"['furniture', 'decor', 'walls']"
585,585,"['furniture', 'decor', 'design']"
586,586,"['walls', 'furniture', 'decor']"
587,587,"['furniture', 'flooring', 'decor']"
588,588,"['walls', 'windows', 'furniture']"
589,589,"['walls', 'decor', 'furniture']"
590,590,"['furniture', 'flooring', 'decor']"
591,591,"['furniture', 'decor', 'walls']"
592,592,"['furniture', 'flooring', 'decor']"
593,593,"['furniture', 'decor', 'flooring']"
594,594,"['design', 'furniture', 'flooring']"
595,595,"['design', 'furniture', 'flooring']"
596,596,"['flooring', 'furniture', 'windows']"
597,597,"['furniture', 'flooring', 'design']"
598,598,"['furniture', 'flooring', 'design']"
599,599,"['furniture', 'flooring', 'design']"
600,600,"['furniture', 'flooring', 'design']"
601,601,"['furniture', 'flooring', 'design']"
602,602,"['furniture', 'flooring', 'design']"
603,603,"['furniture', 'flooring', 'design']"
604,604,"['furniture', 'flooring', 'design']"
605,605,"['furniture', 'flooring', 'design']"
606,606,"['furniture', 'flooring', 'design']"
607,607,"['decor', 'furniture', 'design']"
608,608,"['furniture', 'decor', 'flooring']"
609,609,"['furniture', 'decor', 'flooring']"
610,610,"['furniture', 'decor', 'windows']"
611,611,"['decor', 'furniture', 'walls']"
612,612,"['decor', 'furniture', 'walls']"
613,613,"['decor', 'furniture', 'walls']"
614,614,"['furniture', 'decor', 'walls']"
615,615,"['design', 'flooring', 'decor']"
616,616,"['flooring', 'design', 'ceiling']"
617,617,"['flooring', 'design', 'decor']"
618,618,"['design', 'flooring', 'decor']"
619,619,"['design', 'flooring', 'decor']"
620,620,"['design', 'flooring', 'decor']"
621,621,"['design', 'flooring', 'decor']"
622,622,"['design', 'flooring', 'decor']"
623,623,"['design', 'flooring', 'decor']"
624,624,"['flooring', 'windows', 'furniture']"
625,625,"['flooring', 'furniture', 'decor']"
626,626,"['flooring', 'furniture', 'decor']"
627,627,"['flooring', 'furniture', 'decor']"
628,628,"['flooring', 'furniture', 'decor']"
629,629,"['flooring', 'furniture', 'decor']"
630,630,"['flooring', 'furniture', 'decor']"
631,631,"['flooring', 'furniture', 'windows']"
632,632,"['furniture', 'decor', 'flooring']"
633,633,"['furniture', 'decor', 'flooring']"
634,634,"['decor', 'walls', 'furniture']"
635,635,"['walls', 'decor', 'furniture']"
636,636,"['decor', 'flooring', 'walls']"
637,637,"['decor', 'walls', 'furniture']"
638,638,"['decor', 'walls', 'furniture']"
